Sample,Grid,Loc,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
S_19_M,JO,B_18,P129,46,21.1833,2.0262,23.0615,21.2604,0.926956865,,0.5725,0.7295,1.304,0.9389,0.502261823,0.8606,0.394928033,0.7157,0.196298835,0.1132,P3 B5,5.4242,58.8,54.18394772,42.60479077,21.17669573,5.851620722,63.43337238
S_21_H,JO,I_18,211_1,8,21.5635,3.1179,24.4624,21.675,0.929760416,,0.5656,0.7378,1.3051,0.9139,0.472079154,0.8324,0.361615614,0.6944,0.174573055,0.1028,P1 E10,5.3418,63.6,50.77427973,38.89341898,18.7761333,5.745351071,68.40471903
S_21_L,JO,I_18,P78,157,29.0732,2.6675,31.5273,29.2385,0.92,,0.5513,0.6379,1.1913,0.8166,0.415895908,0.7565,0.321680514,0.667,0.181376391,0.1082,P2 C7,5.356,63.7,45.20607701,34.96527328,19.71482514,5.82173913,69.23913043
S_21_M,JO,I_18,P97,135,31.395,2.3052,33.536,31.5106,0.928769738,,0.5582,0.5787,1.1397,0.823,0.457577328,0.7613,0.350959046,0.6589,0.174010714,0.1088,P3 A5,5.5518,55.8,49.26703679,37.78751953,18.73561407,5.977584942,60.07947688
S_23_H,JO,I_14,P111,13A,29.0377,2.3922,31.2759,29.1205,0.935624112,,0.5218,0.5318,1.0549,0.8022,0.527265889,0.738,0.406543813,0.6271,0.198006769,0.1411,P1 C2,4.8854,68.4,56.35445718,43.45161784,21.16306827,5.221541364,73.10628183
S_23_L,JO,I_14,P119,167,28.9424,2.293,31.0655,29.0588,0.925904928,,0.5578,0.7381,1.2991,0.9144,0.483132367,0.8305,0.369462133,0.7047,0.199024522,0.1153,P2 E3,5.2952,58.8,52.17947894,39.90281521,21.49513588,5.718945693,63.50544016
S_23_M,JO,I_14,P100,163,29.3231,2.37,31.5262,29.4346,0.929578059,,0.554,0.5556,1.1132,0.8517,0.535817135,0.7885,0.422066235,0.6856,0.236861051,0.1168,P2 C3,4.6885,64,57.64089733,45.40406592,25.48049072,5.043686169,68.84844083
S_25_H,JO,I_10,P130,104,28.8146,2.9705,31.5833,28.9256,0.932065309,,0.5235,0.6923,1.219,0.8784,0.512639029,0.8031,0.403871154,0.6637,0.202513361,0.1128,P1 D7,5.6866,64.2,55.00033361,43.33077846,21.7273789,6.10107462,68.87929353
S_25_L,JO,I_10,P104,140,29.0499,2.7528,31.5934,29.2274,0.923968323,,0.5458,0.5693,1.1142,0.8234,0.487616371,0.7477,0.354646057,0.6536,0.189355349,0.137,P2 D5,4.751,58.5,52.77414374,38.38292371,20.49370567,5.14195117,63.31385886
S_25_M,JO,I_10,P114,33,23.2813,2.5847,25.6828,23.4534,0.929121368,,0.5762,0.9518,1.5312,1.0524,0.500315192,0.9487,0.391363732,0.789,0.223576382,0.1191,P3 B6,4.7808,54.8,53.84820643,42.12191704,24.06320523,5.145506458,58.98045388
